nr_ankiet	data_przy	data_wyj	pyt_1	pyt_2	pyt_3	pyt_4	pyt_5	kod_ow
101	2004-06-06	2004-07-03	6	6	6	5	6	w3
102	2004-06-07	2004-08-07	5	5	2	5	5	w11
103	2004-06-08	2004-08-07	5	5	2	3	5	O5
104	2004-06-09	2004-08-07	5	5	2	5	6	w3
105	2004-05-16	2004-08-19	4	5	5	4	6	w3
106	2004-05-17	2004-08-09	1	5	5	5	6	w11
107	2004-05-16	2004-08-09	6	5	5	5	6	O5
108	2004-05-19	2004-08-09	6	5	5	5	6	w3
109	2004-05-20	2004-08-09	5	5	5	5	6	w3
110	2004-05-15	2004-06-30	4	6	6	6	6	O2
111	2004-05-15	2004-05-24	5	5	4	5	5	w1
112	2004-05-15	2004-05-31	5	6	6	6	6	w1
113	2004-05-16	2004-06-01	5	4	4	5	5	w1
114	2004-05-16	2004-05-25	5	6	5	6	6	w1
115	2004-05-16	2004-05-17	4	4	4	3	5	O2
116	2004-05-17	2004-06-02	5	5	5	5	5	w1
117	2004-05-17	2004-05-26	5	6	4	5	6	w1
118	2004-05-18	2004-05-25	6	5	5	5	6	w3
119	2004-05-18	2004-05-27	5	4	4	3	4	w1
120	2004-05-18	2004-05-25	4	5	5	4	5	w1
121	2004-05-18	2004-05-26	4	5	5	4	5	O5
122	2004-05-18	2004-05-25	4	5	5	4	6	w3
123	2004-05-18	2004-05-25	2	4	5	2	6	w3
124	2004-05-19	2004-06-04	6	3	5	5	6	w3
125	2004-05-19	2004-06-04	3	6	5	6	6	w3
126	2004-05-19	2004-06-04	5	5	5	5	5	w11
127	2004-05-19	2004-06-04	5	5	5	5	5	O5
128	2004-05-19	2004-06-04	5	5	5	5	6	w3
129	2004-05-19	2004-05-28	4	5	3	3	5	w1
130	2004-05-20	2004-08-06	6	6	5	6	1	w3
131	2004-05-20	2004-08-06	5	6	6	5	5	w11
132	2004-05-20	2004-08-06	5	6	6	5	5	O5
133	2004-05-20	2004-08-06	5	6	6	5	6	w3
134	2004-05-20	2004-05-29	4	4	5	4	4	w1
135	2004-05-20	2004-08-06	4	5	5	4	4	w3
136	2004-05-21	2004-05-21	6	5	6	5	6	w2
137	2004-05-21	2004-07-18	3	6	5	5	5	O9
138	2004-05-21	2004-08-08	6	6	6	5	6	w11
139	2004-05-21	2004-06-06	3	6	6	6	6	w11
140	2004-05-21	2004-08-12	6	6	6	5	6	w11
141	2004-05-21	2004-08-08	6	6	6	5	6	O5
142	2004-05-21	2004-05-23	5	4	5	5	4	O2
143	2004-05-21	2004-05-24	5	4	5	5	4	O2
144	2004-05-21	2004-05-25	5	5	3	5	5	O1
145	2004-05-21	2004-08-11	5	5	4	5	5	w11
146	2004-05-21	2004-05-22	5	5	5	6	2	O2
147	2004-05-21	2004-05-25	5	5	5	5	4	O2
148	2004-05-21	2004-05-26	5	5	5	5	5	O1
149	2004-05-21	2004-05-27	5	5	5	4	4	O1
150	2004-05-21	2004-05-22	5	5	5	5	5	w555
151	2004-05-21	2004-05-23	5	5	5	5	5	O888
152	2004-05-21	2004-05-24	5	5	5	5	5	O888
153	2004-05-21	2004-05-25	5	5	5	5	5	w55
154	2004-05-21	2004-05-26	5	5	5	4	5	w6
155	2004-05-21	2004-06-10	5	5	6	2	5	w2
156	2004-05-21	2004-06-11	5	6	6	5	6	w2
157	2004-05-21	2004-05-22	5	6	6	5	6	w2
158	2004-05-21	2004-05-30	4	5	4	4	5	w1
159	2004-05-21	2004-08-10	4	5	5	3	5	w11
160	2004-05-21	2004-07-19	4	5	5	4	5	O9
161	2004-05-21	2004-07-17	4	5	5	4	5	O9
162	2004-05-21	2004-07-19	4	5	5	4	4	O9
163	2004-05-22	2004-05-23	6	6	6	6	6	O2
164	2004-05-22	2004-05-23	5	5	4	4	4	O2
165	2004-05-22	2004-05-23	5	5	5	5	4	O2
166	2004-05-22	2004-05-23	5	5	5	5	5	w2
167	2004-05-22	2004-05-23	5	5	6	5	6	w2
168	2004-05-22	2004-05-23	4	5	4	4	4	O2
169	2004-05-22	2004-07-20	4	5	5	4	4	O9
